2018-03-22	ZPG
Perl6 signatures and multi methods	Simon Proctor
Admonitor, Simple Server Monitoring	Andy Beverly
Working With a Database in Unit Tests When You Have a Large Test Suite, How to Wrap Prove and Make Stuff Available,	Julien Fiegehenn
I'm a Republican, Honest	Dave Cross
Tests Before Code	Mike Whitaker
Action at a distance	Andrew Solomon
2017-11-09	Broadbean
Catching up with Perl: what I missed being stuck on 5.8.9	Mike Whitaker
One in a Million	Paul Evans
Scrum for Developers, What that means for us	Jérôme Étévé
Software necromancy with Perl and SDL	Dave Lambley
The PAUSE Governance Model	Neil Bowers
2017-09-28	ZPG
Perl 6: A Primer	Simon Proctor
Perl Dependency Management	Errieta Kostala
Application Testing Tales	Tom Hukins
Perl With Docker	JJ Allen
Things I'm Surprised Don't Get More Use	Nelo Onyiah
2017-06-29	CV Library
Recommending Crypto 1	Colin Newell
Program the future with Schedule::Longsteps	Jérôme Étévé
DNS for speed and security	John Davies
Mob programming the CPAN Pull Request Challenge	Lance Wicks
Perl 6	brian d foy
2017-03-30	Pirum
XXXX	Matt Lyons
Freeing Tower Bridge	Dave Cross
Sietima	Gianni Ceccarelli (Dakkar)
SEO for Developers	Andrew Soloman
Perl and Genomics	Alessandra Traini
2016-10-20	ZPG
A language for skinny jeans: Perl in a world of micro-services	Jules Decol
Netdisco: a 16 year old Modern Perl Application	Oliver Gorwits
Logging with Log::Report	Andrew Beverley
Wrestling the Kraken: Attempting to Tame a Monolith	Alex Knowles
Running Perl 5 & 6 in the Cloud	Casey West
Logic-less Templates with Mustache	Alex Balhatchet
2016-08-08	Broadbean
Error(s) Free Programming	Dave Cross
Rex - Automating System Deployment in Perl	Andrew Solomon
Rewriting the Siesta Mailing List Manager	Gianni Ceccarelli
Predicting the Scottish Election	Aaron Crane
/bin - Diverged and Gone Wild	Sevan Janiyan
HTTP::Caching for Dummies	Theo van Hoesel
2016-06-15	ZPG
Prototyping a Perl Application in XQuery	Hakim Cassimally, Dan Meyers
Is Haskell an Acceptable Perl?	Hakim Cassimally
SixFix - a Weekly Dose of Perl 6 Powered by Perl 5	Nigel Hamilton
Perl, Geodata and Mapping	Dave Lambley
Emulation Driven Development	Lee Johnson
Authentication and Authorisation with Google Drive	Ashley Hindmarsh
2016-04-21	Conway Hall
Using Perl in Drug Discovery	Joe Tym
Scheduler for Applications	Rimantas Černauskas
Fixing Race Conditions in Test::TCP	Dagfinn Ilmari Mannsåker
Productive Code Reuse with Frameworks, Templates and ORMs	Frank Carnovale
Broken HTML, Broken Parsers, Broken Docs	John Davies
Better Code Review 	Tom Hukins
2016-02-25	Eligo
Testing, testing everything: working with legacy Perl	 Brian Kelly
Localisation done right with Locale::CLDR	John Imrie
Scaling a Database with a Business	Katherine Spice
Downloading Crossword Puzzles with Perl & Template Toolkit	Theron Stanford
Perlish Browser Testing with WebDriver::Tiny	James Raspass
Perl 6 Concurrency	Steve Mynott
